kata,arti
s4,sempat
saiang,sayang
saiank,sayang
saik,asik
saiyang,sayang 
sap,siap
satay,sate
sayan.g,sayang
sbb,maaf lagi bales
sby,surabaya
sebh,sebuah
seblknya,sebaliknya
seini,segini
sekem,ketipu
sekseh,seksi
selo,santai
selow,santai
semangt,semangat
sensi,sensitif
sesek,sesak
siech,sih
sieyh,sih
simp,simpang 
skarang,sekarang
skg,sekarang
skitarny ,sekitarnya 
sklh,sekolah
skrg,sekarang
slama,selama
sm,sama
smg,semarang
sngat,sangat 
sori,sorry
spa,siapa
sppa,siapa
spt,seperti 
st,stasiun 
starbuck,starbucks
stlh,setelah
stopan,pemberhentian
styp,setiap
suk,masuk
sya ,saya 
syaik,asik
syemangat,semangat
t4,tempat
tajir,kaya
tak,tidak 
tangsel,tanggerang selatan
tar,nanti
tasik,tasikmalaya
taw,tahu
tawh,tahu
tdk ,tidak 
tekape,tempat kejadian
tengkiyu,thank you
tengkyu,thank you
tengs,thanks
tengsin,malu
tetep,tetap
tgl,tanggal
th,tahun
thn,tahun
tl,timeline
tlg,tolong
tmn,teman
tnh,tanah
tp,tapi
trmkash ,terimakasih 
trsn,terusan
tsb,tersebut
ttp,tetap
ttww,trending topic worldwide
tuch,tuh
tuwh,tuh
tw,tahu
tyap,tiap
tyus,terus
tyz,terus
u,kamu
u/,untuk
ubat,obat
uchul,lucu
ucul,lucu
udh,sudah
ui,hai
unyu,lucu
upg,makassar
utk,untuk
varokah,berkah
w,saya
wa,saya
walaoupown,walaupun
was2,khawatir
wiken,weekend
wkwk,haha
woles,santai
woro-woro,pengumuman
xmx,sms
xnak,enak
xpe,tipe 
yalsi,sial
yeay,hore
yg,yang
yk,yogyakarta
yogja,yogyakarta
yogjakarta,yogyakarta
yogya,yogyakarta
yukz,yuk
yupz,iya
yuq,yuk
yuqz,yuk
zmz,sms
